file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
te870-keyd15ea5-rep10-433920000.iq,5521f7e0ff592b0df477f0a9e869f23ee23925f8de8ae596499741ab94d74e54,433920000,250000,28.0,1250000,D15EA5,870,10,20,131072,,,499,0ce096fea1adcd848b8e0f359833feca,11,canonical full-file D15EA5 family
te910-keydead12-rep10-433920000.iq,cf39570d7f2baa5435adda598a6d5a75496995335bc6c6a590344c79c8b6bb39,433920000,250000,28.0,1250000,DEAD12,910,10,20,131072,,,499,a57783a97009fc13b6e255e487f6e7aa,12,canonical full-file DEAD12 family
te930-keyb16b00-rep10-433920000.iq,14cc53b2fdef06fff45ce2b3ddf192a14717b4e85e039317745c9b852744a2da,433920000,250000,28.0,1250000,B16B00,930,10,20,131072,,,499,782fbf6929fb12a9430159f2e512ec13,12,canonical full-file B16B00 family
te960-keyabcd10-rep10-433920000.iq,38d5f5e8be4173bf5bee6c61d6f41f351b0c59656dd77dd5b73cdefbbe45e199,433920000,250000,28.0,1250000,ABCD10,960,10,20,131072,,,499,06017c95923ccb6afe1fa249c8d798b8,13,canonical full-file ABCD10 family
te1500-keybeef90-rep10-433920000.iq,b2a5b9a5758fc5d0d528c41518720549b0f4f408411778e4617222dbc5fbf2f9,433920000,250000,28.0,1250000,BEEF90,1500,10,20,131072,,,499,f85a7588338de63f1506c84cecb0e026,19,canonical full-file BEEF90 family
te1600-keya5c3d0-rep10-433920000.iq,9ae68f98a9b1e292c0e78de7b76efc80a4bb67a58cfe8207491a220535350dd4,433920000,250000,28.0,1250000,A5C3D0,1600,10,20,131072,,,499,9f6094750e509ccb6fd90af68d59b170,20,canonical full-file A5C3D0 family
te170-keybeef90-rep10-433920000.iq,194b83a6e4ddc558740f65d7eafa2361f631fd576e91d0252348c89edea6c2c8,433920000,250000,28.0,1250000,BEEF90,170,10,15,98304,,,499,f85a7588338de63f1506c84cecb0e026,3,refinement edge case; fine and mid regimes recover BEEF90 while alternate regimes preserve the packet under different class digests
te190-keya5c3d0-rep10-433920000.iq,58ab2bd3b420b446f6c6879f70ccff19134e805a7dbf59bcfc7ebab92d65264b,433920000,250000,28.0,1250000,A5C3D0,190,10,15,98304,,,499,9f6094750e509ccb6fd90af68d59b170,3,refinement edge case; fine regimes recover A5C3D0 while the canonical regime truncates to the prefix
te300-keybeef90-rep10-433920000.iq,581bd3105e569be0ae2e8a0a6b36e802593d138ec6b2e1cf54687bc754d55ae7,433920000,250000,28.0,1250000,BEEF90,300,10,20,131072,,,499,f85a7588338de63f1506c84cecb0e026,4,canonical full-file BEEF90 family
te320-keya5c3d0-rep10-433920000.iq,fe647d4f28d60f0e0c29fafd1ed96a9054ac43e1df857c82dbdce2f3b56aebb0,433920000,250000,28.0,1250000,A5C3D0,320,10,20,131072,,,499,9f6094750e509ccb6fd90af68d59b170,4,canonical full-file A5C3D0 family
te500-keya5c3d0-rep1-433920000.iq,2a1dbb621c80b57a1e92e332faec4bf440a0aebf77923aa9ef81695325c120d3,433920000,250000,28.0,1250000,A5C3D0,500,1,20,131072,,,499,9f6094750e509ccb6fd90af68d59b170,7,repeat-variation metamer within the A5C3D0 family
